MACsrc,ip_src,ip_dst,op,entropia_src,entropia_dst,cant_pkt_arp,cant_pkt_total
00:1b:21:7f:6c:fd,10.2.2.254,10.2.2.205,1,3.38421339789,2.75247007558,61,133
00:1b:21:7f:6c:fd,10.2.203.254,10.2.203.89,1,3.39640481332,2.8271914236,62,134
00:1b:21:7f:6c:fd,10.2.203.254,10.2.202.105,1,3.40279241092,2.89991003491,63,135
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.38814819537,2.86969829813,64,136
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,3.38101642058,2.84009028098,65,139
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,3.36600007639,2.81107277733,66,141
00:1b:21:7f:6c:fd,10.2.203.254,10.2.201.138,1,3.36946021484,2.88102637592,67,143
9c:b7:0d:da:01:ac,10.2.202.141,10.2.203.254,1,3.37740722595,2.85229220841,68,147
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.36403245435,2.82411753636,69,155
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,3.34975157779,2.79648946706,70,156
e0:69:95:eb:35:34,10.2.1.11,10.2.1.249,1,3.40936401048,2.86389432385,71,159
b8:af:67:a1:ea:9e,10.2.0.187,10.2.0.187,1,3.46760276893,2.92970905017,72,160
00:1b:21:7f:6c:fd,10.2.2.254,10.2.2.205,1,3.48678225418,2.95625694252,73,161
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.47270551677,2.928914487,74,163
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,3.46602806714,2.90206783345,75,167
00:1b:21:7f:6c:fd,10.2.1.254,10.2.1.230,1,3.52148939829,2.96494969399,76,168
00:1b:21:7f:6c:fd,10.2.2.254,10.2.2.230,1,3.5336123946,3.02644479682,77,170
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.51931504867,2.99964808204,78,174
00:1b:21:7f:6c:fd,10.2.203.254,10.2.202.251,1,3.52028063773,3.05961843587,79,175
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,3.51279090012,3.03309656689,80,179
00:50:fc:98:0f:ee,10.2.6.15,10.2.6.205,1,3.56539351423,3.06692997523,81,180
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.55111765526,3.0409840176,82,181
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,3.53855742325,3.01547097709,83,182
00:1b:21:7f:6c:fd,10.2.2.254,10.2.2.205,1,3.54663114722,3.03411153943,84,185
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,3.53876212025,3.00930043831,85,186
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,3.52521454945,2.98489088308,86,188
fc:f8:ae:1e:fe:e2,10.2.200.43,10.2.203.254,1,3.51320833818,2.9608747716,87,191
00:1b:21:7f:6c:fd,10.2.1.254,10.2.1.230,1,3.54026163321,2.99420458444,88,192
00:1b:21:7f:6c:fd,10.2.2.254,10.2.2.230,1,3.54554137201,3.02696962187,89,194
00:1b:21:7f:6c:fd,10.2.203.254,10.2.200.151,1,3.54590188752,3.08140888511,90,197
00:1b:21:7f:6c:fd,10.2.2.254,10.2.2.205,1,3.54870323093,3.09516145905,91,199
